Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,2,0,15.850006,19.350006,16.225006,18.225006,18.225006,12.295532,18.475006,15.162506,17.475006,13.162506,12.600006,13.287506,18.600006,18.662506,14.350006,17.162506,11.600006,21.162506,13.850006,20.350006,12.850006,16.350006,12.475006,18.225006
January,2,1,15.412506,18.662506,16.412506,17.537506,17.287506,12.490448,17.412506,14.350006,16.475006,12.600006,12.475006,12.725006,17.787506,17.412506,13.975006,16.412506,11.850006,17.725006,12.662506,19.787506,11.975006,15.537506,11.850006,17.037506
January,2,2,14.475006,17.662506,16.287506,17.162506,16.787506,12.065765,18.287506,13.975006,15.850006,13.100006,12.537506,12.850006,17.162506,16.537506,13.600006,15.725006,11.162506,16.975006,11.725006,16.600006,11.037506,13.350006,11.537506,16.912506
January,2,3,11.225006,13.725006,15.725006,13.662506,12.537506,10.560211,12.037506,12.600006,11.600006,10.662506,11.350006,12.350006,15.287506,14.662506,11.600006,14.350006,9.412506,14.600006,10.225006,15.162506,9.912506,11.912506,11.287506,15.850006
January,2,4,10.725006,13.725006,15.725006,13.537506,11.912506,10.589264,11.787506,12.475006,11.350006,9.912506,10.662506,12.100006,15.100006,13.537506,10.787506,13.725006,9.475006,14.350006,10.350006,13.912506,8.100006,11.850006,11.100006,14.350006
January,2,5,10.037506,12.975006,15.600006,13.350006,11.725006,9.827911,11.100006,12.475006,10.975006,9.537506,10.350006,12.287506,14.412506,12.600006,10.725006,12.850006,9.037506,13.850006,9.975006,13.225006,7.975006,11.162506,11.100006,14.225006
January,2,6,9.787506,12.537506,15.600006,13.662506,11.225006,9.721649,10.912506,11.662506,10.537506,9.600006,10.287506,12.475006,14.412506,12.100006,10.412506,12.662506,9.037506,13.537506,9.225006,12.850006,7.162506,10.725006,10.787506,13.787506
January,2,7,9.600006,12.225006,15.600006,13.662506,10.787506,9.5642395,10.850006,11.787506,10.225006,9.662506,9.725006,12.850006,14.100006,11.850006,10.100006,12.350006,8.662506,13.037506,8.600006,12.350006,6.912506,10.350006,10.475006,13.225006
January,2,8,9.225006,12.162506,15.662506,13.037506,10.475006,9.556,11.162506,11.600006,10.100006,9.662506,9.475006,13.162506,13.475006,11.537506,9.787506,12.100006,8.600006,12.537506,8.225006,11.850006,6.725006,10.350006,10.475006,13.162506
January,2,9,7.225006,9.412506,14.912506,11.162506,8.537506,8.821167,9.912506,10.287506,7.975006,8.725006,9.037506,13.850006,11.850006,11.037506,9.287506,10.412506,7.975006,11.662506,7.662506,11.287506,5.537506,9.725006,10.350006,12.975006
January,2,10,7.350006,11.100006,15.537506,11.850006,8.662506,8.458649,9.600006,11.600006,9.100006,9.537506,8.787506,13.537506,11.662506,11.287506,8.537506,12.100006,7.287506,10.912506,7.037506,11.412506,5.725006,9.350006,10.225006,12.475006
